Field=Designator~String~Designator~197|Field=Manu. P/N~String~Manu. P/N~142|Field=Quantity~Integer~Quantity~74|Field=VALUE~String~VALUE~69|Field=Description~String~Description~494|Field=Footprint~String~Footprint~119|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~CaribouLite.PrjPcb|ReportField=ProjectFullPath~D:\Projects\cariboulite_hardware\src\CaribouLite.PrjPcb|ReportField=Title~BOM_PartType For Project [CaribouLite.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~204|ReportField=ReportTime~3:01:13 PM|ReportField=ReportDate~6/17/2021|ReportField=ReportDateTime~6/17/2021 3:01:13 PM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=ProductNamePN~CaribouLite / CARIBOULITE-V2|ReportField=PCB_Reviewer~-|ReportField=PCB_Rev~B|ReportField=PCB_DrawingNum~DN00002|ReportField=PCB_Designer~DM|ReportField=DrawingNumber~DN00001|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=Designer~DM|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~2|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=1.04|XCorrection=1.00|YCorrection=1.00|PrintKind=0|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-3|MediaType=1|DitherType=10|PrintScaleMode=1|PaperKind=A3 297 x 420 mm|PaperIndex=8|ReportField=ProjectName~|ReportField=Reviewer~-|ReportField=Revision~B|ReportField=Rule~|ReportField=SheetNumber~2|ReportField=SheetTitle~Top Level Design|ReportField=SheetTotal~7|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~CaribouLite.PrjPcb|ReportField=DataSourceFullPath~D:\Projects\cariboulite_hardware\src\CaribouLite.PrjPcb|ReportField=PCBDataSourceFileName~PCB_R3.CSPcbDoc|ReportField=PCBDataSourceFullPath~D:\Projects\cariboulite_hardware\src\PCB_R3.CSPcbDoc
D3, D4|LXES15AAA1-153|2||ESD Suppressors / TVS Diodes ESD Protection Device, 0402, Bidirectional, 4V working, 15V breakdown, 0.05pF Cd|DIONC1105X44N
D1, D2, D7, D8, D9, D10, D11, D12|LTST-C190KRKT|8||Red 631nm LED Indication - Discrete 2V 0603|LEDC1608X35N
C114|04025A8R2BAT2A|1|8.2p|Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 8.2pF C0G 0402 .1pF Tol|MURATA 0402
C113|0402N181F500CT|1|180p|Multilayer Ceramic Capacitors MLCC - SMD/SMT 180pF 50V 1% 0402 NPO|MURATA 0402
C109, C110|GRM1555C1H331JA01D|2|330p|Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 330pF 50volts C0G 5%|MURATA 0402
C76, C88, C91, C94, C100, C101|C0402C101J5GACTU|6|100p|Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 100pF +/-0.05|MURATA 0402
C67, C102, C108, C111, C115, C117|GRM1555C1E103JE01J|6|10n|Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402, 0.01UF 25V C0G|MURATA 0402
C45, C46, C49, C51, C58, C59, L8, L17|CRCW04020000Z0EDC|8|0 Ohms|0 Ohms jumper resistor 0402|MURATA 0402, MURATA 0402, MURATA 0402, MURATA 0402, MURATA 0402, MURATA 0402, CoilCraft 0402, CoilCraft 0402
C25, C127|GRJ155R61A475ME11J|2|4.7u|Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 MLCC X5R 4.7 uF +/ -20% 10V|MURATA 0402
C24, C26, C31|CL10A226MQ8NRNE|3|22u|Multilayer Ceramic Capacitors MLCC - SMD/SMT 22uF+/-20% 6.3V X5R 1608|MURATA 0603
C22|0402N150J500CT|1|15p|Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 15pF 50volts, C0G|MURATA 0402
C19|GCM1555C1HR80WA16D|1|0.8p|Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 0pF 50volts C0G, 0.8pF|MURATA 0402
C16, C27, C29, C39, C63, C87, C103, C105, C106, C107, C112, C116, C118, C125, C126|C0402C330J5GAC|15|33p|Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50V 33pF C0G 0402 5%|MURATA 0402
C13, C15, C35, C37, C38, C41, C42, C43, C47, C48, C50, C54, C55, C56, C57, C60, C61, C62, C64, C70, C78, C82, C83, C84, C85, C90, C93, C95, C96, C99|GRM1555C2A102JE01D|30|1n|Multilayer Ceramic Capacitors MLCC 1000pF ±5% 100V C0G 0402|MURATA 0402
C12, C20|0402N1R8B500CT|2|1.8p|Multilayer Ceramic Capacitors MLCC - SMD/SMT, 0402 1.8pF +-0.1% 50V|MURATA 0402
C11|0402N2R2B500CT|1|2.2p|Multilayer Ceramic Capacitors MLCC - SMD/SMT, 0402 2.2pF +-0.1% 50V|MURATA 0402
C5, C7, C9, C10, C17, C34, C36, C65, C68, C69, C71, C72, C73, C74, C81, C86, C89, C119, C120|0402YD104KAT2A|19|100n|Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V .1uF X5R 0402 10%|MURATA 0402
C3, C14, C21, C28, C32|LMK105BJ105MVHF|5|1u|Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 10VDC 1uF 20% X5R|MURATA 0402
C1, C33, C66, C79, C80, C121|0402X106M6R3CT|6|10u|Multilayer Ceramic Capacitors MLCC - SMD/SMT 10uF 20% 6.3 Volts|MURATA 0402
